project,repo_url,clone_path,size_kib,size_mib,clone_status,clone_details
Facebook SDK for Android,https://github.com/facebook/facebook-android-sdk,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/facebook_facebook-android-sdk,9432,9.2,cloned,checkout present
Retrofit,https://github.com/square/retrofit,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/square_retrofit,10436,10.2,cloned,checkout present
Google I/O Sched App,https://github.com/google/iosched,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/google_iosched,10468,10.2,cloned,checkout present
OkHttp,https://github.com/square/okhttp,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/square_okhttp,12244,12.0,cloned,checkout present
PhilJay MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/PhilJay_MPAndroidChart,15504,15.1,cloned,checkout present
Realm Java,https://github.com/realm/realm-java,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/realm_realm-java,18400,18.0,cloned,checkout present
Apache Ant,https://github.com/apache/ant,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/apache_ant,28676,28.0,cloned,checkout present
WhatsUp (MarvinBellmann),https://github.com/MarvinBellmann/WhatsUp,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/MarvinBellmann_WhatsUp,45896,44.8,cloned,checkout present
Bublag Confetti,https://github.com/bublag/confetti,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/bublag_confetti,46100,45.0,cloned,checkout present
Apache Tomcat,https://github.com/apache/tomcat,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/apache_tomcat,56152,54.8,cloned,checkout present
Mayhem and Hell,https://github.com/alvyxaz/mayhem-and-hell,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/alvyxaz_mayhem-and-hell,58868,57.5,cloned,checkout present
Apache Dubbo,https://github.com/alibaba/dubbo,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/alibaba_dubbo,67836,66.2,cloned,checkout present
Sen Word-Builder,https://github.com/Sen-Word-Builder/Word-Builder,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/Sen-Word-Builder_Word-Builder,71268,69.6,cloned,checkout present
Spring Boot,https://github.com/spring-projects/spring-boot,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/spring-projects_spring-boot,81328,79.4,cloned,checkout present
TUBAME Migration Tool,https://github.com/TUBAME/migration-tool,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/TUBAME_migration-tool,81744,79.8,cloned,checkout present
Apache Derby,https://github.com/apache/derby,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/apache_derby,101756,99.4,cloned,checkout present
Spring Framework,https://github.com/spring-projects/spring-framework,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/spring-projects_spring-framework,103784,101.4,cloned,checkout present
Containing,https://github.com/robertdj20/Containing,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/robertdj20_Containing,110008,107.4,cloned,checkout present
Facebook Fresco,https://github.com/facebook/fresco,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/facebook_fresco,122328,119.5,cloned,checkout present
Achilles,https://github.com/doanduyhai/Achilles,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/doanduyhai_Achilles,147040,143.6,cloned,checkout present
Google J2ObjC,https://github.com/google/j2objc,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/google_j2objc,169024,165.1,cloned,checkout present
Presto DB,https://github.com/prestodb/presto,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/prestodb_presto,185744,181.4,cloned,checkout present
LeakCanary,https://github.com/square/leakcanary,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/square_leakcanary,267044,260.8,cloned,checkout present
Ikasan,https://github.com/ikasanEIP/ikasan,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/ikasanEIP_ikasan,343748,335.7,cloned,checkout present
Elasticsearch,https://github.com/elastic/elasticsearch,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/elastic_elasticsearch,696224,679.9,cloned,checkout present
